引越し,ひっこし,changing residence
近所,きんじょ,neighbourhood
用意,ようい,preparation;arrangements;getting ready
粗品,そしな,small present
思考,しこう,thought;consideration
段ボール,ダンボール,cardboard
資源ごみ,しげんごみ,recyclable garbage
電柱,でんちゅう,telephone pole;power pole
因みに,ちなみに,by the way;incidentally;in this connection
遠慮,えんりょ,reserve;constraint;restraint;modesty;hesitation;holding back;discretion
確り,しっかり,steadily;properly;dependably
所で,ところで,by the way;incidentally;even if;no matter
ブランコ,ぶらんこ,swing;trapeze
押す,おす,to push
変わった,かわった,unusual;abnormal;strange;odd;peculiar
空き家,あきや,vacant house
蝉,せみ,cicada
疾走,しっそう,spring;dash
遣っ付ける,やっつける,to beat;to attack; to finish off
長女,ちょうじょ,eldest daughter
次女,次女,second daughter
末っ子,すえっこ,youngest child
